Food_items,Breakfast,Lunch,Dinner,Diet,Sugar,BP,Cuisine,Calories,Fats(gm),Proteins(g),Iron(mg),Calcium(mg),Sodium(mg),Potassium(mg),Carbohydrates(gm),Fibre(gm),Vitamin D(mcg),Sugars(gm),TranslatedIngredients,TranslatedInstructions,,URL
Tomato Curry Leaf Chutney Recipe - Tomato Curry Leaf Chutney Recipe,0,1,1,Vegetarian,0,0,South Indian Recipes,31,2.2,0.5,0.2,14.2,3.8,48.2,2.1,0.6,0,0.4,"4 tomatoes - finely chopped, 2 sprig curry leaves, 2 green chillies - finely chopped, 1/2 tsp turmeric powder, 1 sprig green coriander - finely chopped, salt - or rock salt, sugar - a pinch","To make tomato and curry leaf chutney recipe, first heat oil in a pan. Add curry leaves, green chilies and cook till the green chillies become soft. Now add tomatoes, turmeric powder, coriander leaves, salt, sugar and cook till the tomatoes become very soft. It will take 15 minutes. Turn off the gas after 15 minutes and keep it cool. Now pour it in a blender and grind it. Serve. Serve the tomato and curry leaf chutney with ghee roast dosa and tomato onion sambar for the days dinner.",,https://www.archanaskitchen.com/tomato-curry-leaf-chutney-with-no-onion-no-garlic-recipe-in-hindi
Rajasthani Goonde Vegetable Recipe (Bird Lime Stir Fry),0,1,1,Vegetarian,1,1,Rajasthani,56,12,2.5,0.9,11,13.2,115,2,1.2,0,1,"500 grams Gunde (bird lime),1 teaspoon Methi Seeds (Fenugreek Seeds),Sunflower Oil - as required,Water - as required,1/2 teaspoon Cumin seeds (Jeera),1/2 teaspoon Asafoetida (hing),1 teaspoon Fennel seeds (Saunf),1/2 teaspoon Mustard seeds,1 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1 teaspoon Amchur (Dry Mango Powder),Coriander (Dhania) Leaves - few","To begin making the Rajasthani Gunde Ki Sabzi, firstly boil the gunde in a saucepan with water, drain the water, remove the seeds and keep it aside to cool down for about an hour.Once it is done, heat oil in a heavy bottomed pan. Add cumin seeds, mustard seeds, fennel seeds, fenugreek seeds and hing.Let it cook for about a minute and then add the boiled gundas and mix it properly.Next, add turmeric powder, red chilli powder, amchur powder and the required salt. Give it a stir and let it cook for about 3 to 4 minutes.After 3 to 4 minutes, switch off the stove and garnish it with chopped coriander leaves.Serve Rajasthani Gunde Ki Sabzi withPanchmel Daland hotPhulkasfor a perfect meal.",,https://www.archanaskitchen.com/rajasthani-gunde-ki-sabzi-recipe-bird-lime-stir-fry
Raw Jackfruit Burrito Recipe,0,1,1,Vegetarian,0,0,Mexican,480,9.4,9.6,4.1,178.2,755.5,612.5,80.3,22.1,0,6.1,"200 grams Jackfruit Raw (Kathal) - peeled and cut into small junks,1 Onion - sliced,4 cloves Garlic - chopped,1 inch Ginger - chopped,1 tablespoon Cumin powder (Jeera),1 teaspoon Black pepper powder,1/2 teaspoon Cinnamon Powder (Dalchini),2 teaspoon Paprika powder,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,1/2 cup Rajma (Large Kidney Beans) - soaked and boiled,1 Onion - chopped,1 Tomato - chopped,4 cloves Garlic - chopped,1 tablespoon Cumin powder (Jeera),1 tablespoon Red Chilli powder,1 teaspoon Black pepper powder,1 teaspoon Sugar,Salt - to taste,1/4 cup Cooked rice,1 tablespoon Dried Thyme Leaves,1 tablespoon Paprika powder,Salt - to taste,1/2 Red Bell pepper (Capsicum),1/2 Yellow Bell Pepper (Capsicum),1/2 Green Bell Pepper (Capsicum),1/2 Onion,1 teaspoon Paprika powder,1 teaspoon Cumin powder (Jeera),Salt and Pepper,1 cup Sour cream,1 cup Tomato Salsa,2 Tortillas","To make the refried beansTo begin making the Raw Jackfruit Burrito Recipe, we will first pressure cook the rajma beans in a pressure cooker in about 2 cups of water and salt for at least 30 minutes.Once done, allow the pressure to release naturally and keep it aside. Heat a skillet with oil, add garlic and saute till it softens.Add in onions and saute till they turn translucent and crispy, add in cooked rajma beans and tomatoes together so that the tomatoes remain fresh and juicy as it gets blended with the rajma.Sprinkle salt to taste and spice powders like cumin powder, red chilli powder and pepper powder and give it a mix. Check for seasoning, if required, add some more and keep sauting until the mixture comes together.To make the Jamaican Raw JackfruitPressure cook the raw jackfruit with 1 cup of water, salt to taste and pressure cook for just one whistle and set aside later to release the pressure naturally.Heat a sauce pan with a tablespoon oil, add ginger and garlic and saute till they turn soft. Later add in the onions and saute till they turn translucent.Once the onions are lightly sauted, add cooked jackfruit and give it a mix. Sprinkle the spice powders like paprika, pepper, turmeric, cumin, cinnamon and salt to taste.Give it a toss and at the end add a teaspoon of sugar and saute well for at least 5 more minutes. Check for seasonings and set aside to cool.For the riceHeat a sauting pan with oil, add rice and sprinkle with thyme, paprika powder and salt and give it a toss.For the FajitasHeat a grill pan with oil, add onions, bell peppers allow it to cook for few minutes.Sprinkle with spice powders like cumin powder, paprika powder and salt. Toss it well and cook till the bell peppers are soft and crunchy. Once done set aside.To make the Mexican salsa and sour cream, click on the link below and follow the stepsHow toMexican salsaHow to makeSour creamTo Assemble theJerk Raw Jackfruit BurritoWarm up the tortillas for 2 minutes on either side. Place the Tortillia on a flat surface and layer it with rice first.Then add in some Mexican tomato salsa, followed by Jamaican style raw jackfruit, fried beans, fajitas, sour cream and roll the Raw Jackfruit Burrito tightly and them half and serve.Serve theJamaican Style Jerk Raw Jackfruit Burrito Recipealong with some moreMexican salsa, tortilla chips, sour cream andguacamoleto make it a Mexican meal for your Sunday.",,http://www.archanaskitchen.com/jerk-raw-jackfruit-burrito-recipe
Bengali gram dal recipe,0,1,1,Vegetarian,1,1,Bengali Recipes,90.45,3.24,4.68,1.48,13.85,5.02,220.4,10.18,3.45,0,0.11,"1 cup Chana dal (Bengal Gram Dal),1/2 cup Fresh coconut - cut into small bits,1 tablespoon Ghee,1 teaspoon Turmeric powder (Haldi),Salt - to taste,1 tablespoon Mustard oil,3 Dry Red Chillies,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 Bay leaf (tej patta),1/2 teaspoon Cumin seeds (Jeera),2 Green Chillies - slit into halves lengthwise,1 inch Ginger - peeled and grated","To begin making Bengali Cholar Dal, first wash and soak chana dal in water for an hour or so.Cook soaked dal with 2-1/2 Cups of water , turmeric powder, salt to taste and cook dal for 8 whistles / 30 minutes until the dal is cooked completely.See how to cook lentils (dals/pulses). Let the pressure release naturally and keep aside.In a pan heat mustard oil over medium heat,add the coconut pieces and fry until they turn golden brown. Turn off the heat. Transfer the fried coconut pieces in a bowl. Keep aside until required.In the same pan heat a tablespoon of mustard seeds and add cumin seeds, once seeds crackle add dry red chilies, cloves, bay leaf, cinnamon stick, green chilies and grated ginger.Saute for a few second and add the cooked dal and roasted copra into the pan.Briskly boilBengali Style Cholar Dal for three to four minutes and turn off the heat.Transfer the Bengali Style Cholar Dal into a serving bowlfinally garnish with a few more of the roasted coconut pieces and serve hot.Serve the Bengali Cholar Dal withBegun Bhajaandsteamed ricefor a wholesome weekend lunch or dinner.",,https://www.archanaskitchen.com/bengali-style-cholar-dal-recipe
Hyderabadi Vegetable Biryani Recipe - Hyderabadi Vegetable Biryani Recipe,0,1,1,Vegetarian,1,1,Hyderabadi,580,29.2,10.8,2.1,305.4,37,330,61.8,3.9,0,1.01,"1/2 cup green beans - chopped steam, 1/2 cup carrots - chopped steam, 1 cup cabbage - steamed chopped, 1 cup potatoes - boiled, 6 cloves garlic, 2 inch ginger, 1 onion - chopped Take 2 green chilies, 2 cups rice - wash, make 1 cup tomato-puree, 1 cup curd, 1 inch cinnamon, 4 cardamom, 2 bay leaves, 1 tsp turmeric powder, 1 tsp red chilli powder, 1 Small spoon coriander powder, salt - as per taste, oil - as per use, cut 3 sprigs of mint - 1/2 cup onion - finely chopped and cook till it turns brown.","To make Hyderabadi Vegetable Biryani Recipe, first put the rice in a saucepan with salt and oil in 2 cups of water and cook till the rice is half cooked. Now add carrots, green beans, potatoes, cauliflower in a steamer and cook till it becomes soft. Keep this aside. Now add cardamom, cinnamon, long and grind it in a Hamdasta. Keep it aside. Now heat 2 tablespoons oil in a large saucepan. Add garlic paste onion ginger and cook for 2 to 3 minutes. Now add turmeric powder, red chilli powder, coriander powder, ground cinnamon powder, bay leaves and cook for 1 minute. Now add tomato puree and cook it for 5 minutes. Now add curd and let it cook for 2 to 3 minutes. Now add mint leaves, potatoes, cooked vegetables, half cooked rice, mint leaves, salt to taste and mix it and cook for 2 to 3 minutes. Reduce the flame, cover the saucepan and cook until it is well cooked. Turn off the gas and leave it covered for 5 minutes. Garnish with fried onions and serve. Serve the Hyderabadi Vegetable Biryani Recipe with Burani Raita and Mirchi Salon for dinner.",,http://www.archanaskitchen.com/hyderabadi-vegetable-biryani-recipe-in-hindi
Chocolate Chip & Raisin Rolls Recipe,0,1,1,Vegetarian,0,1,Continental,143,5.4,1.5,0.6,20,76,80,22.6,0.7,0,14.9,"2 cups Whole Wheat Flour,2 cups All Purpose Flour (Maida),1 cup Milk - luke warm,3 teaspoons Active dry yeast,2 tablespoons Honey - or jaggery or sugar,1 tablespoon Butter - softened,1 teaspoon Salt,1 1/2 cups Water - or as required,1/2 cup Raisins,3/4 cup Chocolate chips - dark and white,3-4 tablespoons Butter - ricotta cheese or cream cheese or soft paneer,Orange Zest (Rind) - of 1 orange,Sugar - to sprinkle on top","To begin making the Chocolate Chip  Raisin Rolls first mix the flours and salt in a mixing bowl or the bowl of a food processor or stand mixer. Blend them together briefly.Next, in a large measuring cup, measure 1 cup lukewarm milk. To this add honey, butter and whisk together. Sprinkle the yeast over the milk and allow it to get frothy for about 3-4 minutes.If using a food processor/stand mixer with the food processor/stand mixer running on low speed, gradually pour the milk mixture into the processor over the flour.Slowly add in the water (as much required) and allow the flour to form a soft dough within the bowl of the processor/mixer.If using a mixing bowl add the frothy yeast and milk mixture to the flour and begin to knead with your hands.Add water gradually, only as much as needed and keep kneading it till the flour forms a soft and pliable dough.Take care not to add too much water or you will have a sticky unmanageable dough.Turn dough out onto a floured surface and knead again for 8-10 minutes, working the dough very well, until it is smooth and elastic. (If using the stand mixer, knead on medium speed using the dough hook)Transfer the formed dough to a lightly greased bowl, turning once to coat all over. Cover with a wet kitchen towel or plastic wrap and set it aside in a warm place for about 1 - 1 1/2 hours until it has risen and doubled in size.Meanwhile, mix together the butter, chocolate chips, raisins and orange zest. Grease and line a baking sheet or a tray with parchment paper and set it aside for later use.Once the dough has doubled, dust a working surface again with flour and gently roll the dough into a rough 9x12 inch rectangle on it.Spread the butter chocolate chip raisin mixture evenly on top of the rolled out dough.Then, starting with the longer end, roll the dough up into a scroll, making sure to keep it tight so the filling remains inside.Use a sharp knife to cut the log into 1 inch rounds. Place the individual rounds on the prepared sheet, cut side down.Cover the sheet with a wet kitchen towel and allow the rolls to rise a second time, for about 30 minutes.Meanwhile, set your oven to preheat at 200 degrees C.When the rolls have risen for 30 minutes, reduce the heat to 180 degrees C, sprinkle the rolls with granulated sugar and place them to bake until they are are golden brown.Remove the Chocolate Chip and Raisin Rolls from the oven, allow them to rest for 5-10 minutes.ServeChocolate Chip  Raisin Rolls along with your eveningmasala chaior as an after school snack.",,http://www.archanaskitchen.com/chocolate-chip-and-raisin-rolls-recipe
Baby Corn Cigar Recipe,1,0,0,Vegetarian,1,1,North Indian Recipes,1226,63.5,26.5,0.6,12,21,67,137.3,0.3,0,0.31,"10 Baby corn - to be blanched,3 tablespoons Whole Wheat Bread crumbs - roasted,2 tablespoons Corn flour,1/2 tablespoon Extra Virgin Olive Oil,1 tablespoon Vinegar,1 Potato (Aloo) - boiled and mashed,1 tablespoon Coriander (Dhania) Leaves - chopped,1 teaspoon Pizza seasoning,1/2 teaspoon Garlic - paste,1 tablespoon Red Chilli powder - adjust accordingly,1 tablespoon Green Chilli Paste,1/2 tablespoon Ginger - paste,Salt - to taste,Sunflower Oil - for frying","To prepare baby corn cigar recipe, start by blanching the baby corn. Make sure you do not overdo it. 2-3 minutes in hot water and immediate transfer to ice water will do just fine.Slit baby corn longitudinally into two.Boil the potatoes and mash them well with a masher.Take a mixing bowl, add red chili and pizza seasoning, garlic paste, salt and then the vinegar. Mix.Drizzle olive oil and give a nice mix. Add slit baby corn, coat them well with the prepared mixture. Keep aside for 10 minutes.Add coated baby corn onto a heavy bottomed pan and let it cook on medium heat for 2 minutes. Flip and cook for further 2 minutes such that garlic paste and other spices are well cooked.Remove from heat and let it cool.In another pan, add mashed potato, 1-1/2 tablespoon ginger chili paste, cornflour, coriander leaves and salt and mix them well to combine.Apply some oil to your palms such that the mixture doesnt get too much sticky. Take some mashed potato mixture about the size of a small lemon between your palms, roll it out cylindrically and flatten it. Keep the blanched and split baby corn in the center and cover it completely with potato mixture. This appears cigar-shaped at this stage.Repeat rolling out baby corn cigars similarly until you use up all baby corn and potato mixture.Keep a Kadai on medium heat and add oil for deep frying.While the oil is heated, roll cigars one by one in breadcrumbs and ensure it get coated from everywhere. (You can also oil the cigars a bit to make the breadcrumbs stick nicely)Deep fry the baby corn cigars in batches till golden brown and place on kitchen towel to drain excess oil.These baby corn cigars goes well with dips likeCottage Cheese Dip Recipe with Pepper and OlivesorTzatziki.",,https://www.archanaskitchen.com/baby-corn-cigar-recipe
Wheat Millet Thepla Recipe - Bajra Masala Paratha,1,0,1,Vegetarian,1,1,Gujarati Recipes?,102,3.4,3.2,1.6,55.2,16.1,87.8,14.8,2.7,0,0.11,"1 cup Bajra Flour ( Pearl Millet),1/2 cup Whole Wheat Flour,1/2 teaspoon Turmeric powder (Haldi),1/2 teaspoon Black pepper powder,1 inch Ginger - grated,1 Green Chilli - finely chopped,4 sprig Coriander (Dhania) Leaves - finely chopped,Sunflower Oil - as required","To begin making theGehu Bajra Thepla Recipe, combine thebajra flour,whole wheat flour,turmeric powder,black pepper powder,ginger,green chilli,andcoriander leaves,in a large mixing bowl.Add little water at a time and knead to make a smooth and firm dough. Drizzle some oil on the top and knead for a few more minutes until smooth. Cover the thepla dough and allow it to rest for half an hour.Preheat the iron skillet on medium heat. Divide the dough into 6 to 8 portions.Roll the thepla portions into balls flatten them with the palm of your hand. Toss the thepla dough on flour and roll them out into thin circles to approximately 6 inches in diameter.As you roll them out, you can keep tossing the dough in dry flour to prevent sticking when rolling them out.Continue the same process of rolling the thepla dough out with the remaining balls. It is ideal when you can roll out the all portions of dough before you can start cooking them.Method of Cooking the Gehu Bajra TheplaWith skillet on high heat, place the rolled out Gehu Bajra thepla on the skillet. After a few seconds you will notice small air pockets popping out.At this point flip the Gehu Bajra thepla and smear about half a teaspoon of oil and using a flat spatula and do a light pressing and turning motion to cook to the thepla.Flip to the other side and press and turn in a similar way. You will notice brown spots around the cooked Gehu Bajra thepla. Remove from heat and place the thepla on a flat plate.Continue the similar process with the remaining rolled out portions and stack the cooked Gehu Bajra thepla one above the other. Stacking them maintains softness and prevents the theplas from drying out, preserving moisture.Serve the Gehu BajraTheplawithBangain Bhartaand Jaggery for dinner.",,https://www.archanaskitchen.com/gehun-bhajra-thepla-recipe-spiced-wheat-millet-flat-bread
Kaju Badam Ladoo Recipe,0,1,1,Vegetarian,0,0,Indian,95,7.4,1.7,0.3,9.4,0.2,52.9,5.2,0.2,0,10,"1 cup Cashew nuts,1 cup Badam (Almond),1 1//4 cups Sugar,1/2 cup Water,1 teaspoon Cardamom Powder (Elaichi),Ghee - for greasing","To begin making theKaju Badam Ladoo we will first soak the almonds in hot water for 15 minutes. Once soaked, peel the skin from the almonds and keep aside. Drain the water and wipe the almonds dry.Soak cashews for 15 to 20 minutes as well. After soaking, drain and wipe dry.Grind soaked almonds (badam) and cashews (kaju) together into smooth paste. Keep this kaju badam paste aside.The next step is to make a sugar syrup for the ladoos. Bring sugar and water to boil and wait until the sugar syrup reaches 1 string consistency. It is very important to get the sugar syrup to 1 string consistency if you miss this step, the burfi/balls will be not set and harden.Once you have a one string consistency of the sugar syrup, add the cashew almond paste and the cardamon powder. Mix the paste until well combined. Keep flame to medium low and keep stirring the kaju badam mixture continuously.Big bubbles will begin to form and you need to keep mixing constantly, else they will start burning.Keep stirring till the mixture becomes thick. It will take you approximately 30 to 40 minutes until the mixture has thickened and comes away from the sides of the pan andstarts looking like a very soft dough.To test, pinch a tiny piece of dough and roll into ball and place it on a plate, if the ball holds its shape then it is cooked properly, the mixture is ready.If you prefer to cut them into diamonds or square shapes, grease a pan with ghee all over and transfer the dough into the pan and level it even. Since I wanted to shape them into balls I waited until the dough cooled a bit and then while it was still warm I rolled them into bite size balls.Kaju Badam Ladooto cool completely and store them in airtight container for about 5 days or refrigerate it for longer storage.ServeKaju Badam Ladooafter your everyday meal ofJodhpuri Aloo,Ajwain PuriandBoondi Raita.",,https://www.archanaskitchen.com/kaju-badam-ladoo-recipe-sweet-cashew-nut-almond-energy-balls
Spaghetti Aglio Olio With Parmesan & Greens Recipe,0,1,1,Vegetarian,1,1,Italian Recipes,754.6,34.5,22.9,4.4,259.5,354.8,321,87.4,3.9,0,3.3,"400 grams Spaghetti Pasta,200 grams Spinach - or amaranth leaves,4 cloves Garlic - finely chopped (big size),Lemon zest - a pinch,Salt - to taste,3 tablespoons Extra Virgin Olive Oil - adjustable,1/4 cup Parmesan cheese - grated or powdered","To begin Spaghetti Aglio Olio With Parmesan  Greens, cook the spaghetti in boiling water along with salt until it is al dente (firm yet cooked).Once the spaghetti is cooked, wash the spaghetti in running water to stop the cooking process. Drain the excess water and toss the spaghetti in a little olive oil, so it does not stick together.Heat a tablespoon of oil in a wok over medium heat add the garlic and saute for a few seconds until it begins to sizzle. At this stage add the roughly chopped greens, sprinkle salt and cook the greens until softened.Add the lemon zest, the cooked spaghetti, remaining olive oil and chili flakes. Toss all the ingredients together in a wok until combined. Check the salt and adjust to suit your taste.Once done, turn off the heat and transfer to a serving bowl. Spread the parmesan cheese on the top and serve.Serve Spaghetti Aglio Olio With Parmesan  Greens along with a glass of wine andgarlic breadfor a perfect summer weeknight dinner.",,http://www.archanaskitchen.com/spaghetti-aglio-olio-with-parmesan-greens-recipe
Mushroom Dumpling Recipe With Potatoes (Momos),0,1,1,Vegetarian,0,1,Asian,123.5,1.5,4.8,0.6,21,611.4,204.3,22.8,1.6,0,1.2,"200 grams Button mushrooms - finely chopped,1 Potato (Aloo) - boiled and mashed,1 Onion - finely chopped,1 Green Chilli - finely chopped,1 inch Ginger - grated,Salt - to taste,1 teaspoon Sunflower Oil,1 cup All Purpose Flour (Maida)","To begin making the Mushroom Dumpling Recipe, we will first make the dough. To make the dumpling (momo) dough add the flour into a large mixing bowl, add a little water at a time to the flour and knead well to make a smooth and yet firm dough. We dontadd the salt or oil to make the dumpling dough. Cover the dough and allow it to rest for about 20 minutes, till we get the filling ready.Next step is the make the filling for the dumplings. Heat the oil in asaucepan on medium heat. Add the mushrooms, sprinkle some salt and stir fry on high heat until the mushroom become tender. Mushrooms release a lot of water, so stir-fry until all the moisture evaporates.Once the mushrooms are cooked and dry, allow it to cool. Once the mushrooms cool down, add it to a large bowl and combine it with the remaining filling ingredients including the oil.Our final step is to make the Mushroom DumplingsDivide thedough into small lemon sized portions of an inch in diameter. Dust the dough portions in flour and roll out into a circle. Dont roll too thick, as the filling will push itself out and tear when steamed.Place a small spoon of filling in the center of the rolled circle. Bring together the edges of the dough with a pinching and folding motion on one side and bring the other side to hold to the pinched side. By doingthis,the half moon shapedmomos(dumplings) will have afrilledlook. Proceed the similar way with the remaining dough.As you keep shaping the dumplings (momos) you need to keep them on a greased platter and cover with a damp cloth to prevent them from drying out.While you are shaping thedumplings (momos), keep a steamer with water boiling. Grease the steamer pan with some oil to prevent themomosfrom sticking.Place the shaped dumplings (momos)on the greased steamer pan. So when you have one set of shaped dumplings, place them in the steamer and steam on high for 5 to 7 minutes until you see a glaze on the skin.Serve the Mushroom Dumplings along with a hot and spicy Homemade Red Chilli Garlic Sauce Recipe as a tea time snack or as an appetizer for parties with Chinese Vegetable Dry Manchurian Balls Recipe.",,https://www.archanaskitchen.com/mushroom-dumpling-recipe-with-potatoes-momos
Tomato Curry Leaf Chutney With No Onion No Garlic Recipe,0,1,1,Vegetarian,1,1,South Indian Recipes,31,2.2,0.6,0.3,14.4,3.8,48.2,2.1,0.6,0,0.31,"4 Tomatoes - finely chopped,2 sprigs Curry leaves,2 Green Chillies - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 sprig Coriander (Dhania) Leaves - finely chopped,Salt - or rock salt to taste,1 pinch Sugar","We begin making theTomato Curry Leaf Chutney With No Onion No Garlic Recipe by heating the kadai with oil and add all the ingredients.Saute for about 15 minutes till the tomatoes becomemushy and the raw smell goes away.Once it has cool down , blend it in a mixer till it becomes a smooth paste.Serve yourTomato Curry Leaf Chutney With No Onion No Garlic Recipe with Rajgira Panner Paratha Recipe to enjoy your morning breakfast.",,http://www.archanaskitchen.com/tomato-curry-leaf-chutney-with-no-onion-no-garlic-recipe
Baked Oats and Whole Wheat Kachori Stuffed with Peas Recipe,1,0,1,Vegetarian,1,1,North Indian Recipes,195,11.5,4.1,0.9,10.3,5.2,113.7,18.8,0.9,0,0.41,"1 cup Whole Wheat Flour,1/2 cup Instant Oats (Oatmeal),1/4 cup Extra Virgin Olive Oil,1 teaspoon Salt,1 teaspoon Ajwain (Carom seeds),Water - to knead,1 cup Green peas (Matar),1 Green Chilli,1 sprig Coriander (Dhania) Leaves,1 teaspoon Amchur (Dry Mango Powder),1 teaspoon Chaat Masala Powder,1 teaspoon Red Chilli powder,Salt - to taste","We begin making the Oats and whole wheat Kachori stuffed with Peas Recipe make dough for the outer layer first, add whole wheat flour, oats and ajwain, salt, and oil in a mixing bowl and mix well with fingers and palm.Add water to make a smooth and firm dough. Rest the dough for 15 minutes. Once it is done resting, divide the dough into small equal rounds.While the dough is resting make the stuffing, grind all the ingredients mentioned in the list to a coarse mixture and keep it aside.Now to stuff the dough with filling, take one ball and press the sides of dough with fingers so that the center of the kachori is a little thick.Fill the center with a tablespoon of stuffing and seal it from all sides to form the kachori. Repeat the same for the rest of the kachoris.Meanwhile, preheatOvento 180 degrees Celsius for 10 minutes. Place an aluminum foil on a baking tray and brush it with oil.Place kachoris at a half inch distance from each other and brush upper portion of kachoris with oil. Bake in oven for 20 minutes at 180 degrees Celsius. You can brush it with honey to give a nice golden colour.Serve the Oats and whole wheat Kachori stuffed with Peas Recipe along with cup ofMasala Chai Recipe - Indian Spiced Teaor you use it to make aRaj Kachori Recipefor your evening snack.",,http://www.archanaskitchen.com/oats-and-whole-wheat-kachori-stuffed-with-peas-recipe
Masala Carrot And Peas Sandwich Recipe,0,0,1,Vegetarian,0,0,Continental,90,5.7,3.5,2.4,114.1,9.6,37.6,6,1.8,0,0.6,"6 Whole Wheat Brown Bread,1 cup Carrot (Gajjar) - grated,1 cup Green peas (Matar) - boiled,5 cloves Garlic - finely chopped,2 Green Chillies - finely chopped,1/2 teaspoon Black pepper powder,1 teaspoon Chaat Masala Powder,1/4 cup Cheese - grated,Salt - to taste","To begin making Carrot and Peas Sandwich Recipe, heat 1 tablespoon oil in a pan. Once the oil is heated, add finely chopped garlic and green chillies in the pan.Saute for a few seconds and add the grated carrots and boiled green peas and let it cook for 10 minutes or till the vegetables are cooked through.Once done add black pepper powder and chaat masala and stir. Add salt according to your taste and mix everything properly. Turn off the heat and keep aside.Now to prepare the sandwich, take a slice of bread and spread some filling evenly on the slice.Garnish the carrot and peas mixture layer with grated cheese. Close it with another slice of bread. Grill the sandwich in a grilling pan from both the sides till golden brown. Cut the sandwhich diagonally and serve hot.ServeCarrot and Peas Sandwichalong with a hot cup ofMasala ChaiorCantaloupe Pomegranate and Mint Juice.",,http://www.archanaskitchen.com/carrot-and-peas-sandwich-recipe
Stuffed Onion Vegetable Recipe - Bharwa Pyaz Ki Sabzi Recipe,0,1,1,Vegetarian,1,1,North Indian Recipes,98.8,3.8,2.8,0.8,8.1,50.1,43.2,14.4,2.4,0,3,"20 small onions, 1 tsp red chili powder, 1 tsp turmeric powder, 1 tsp mango powder, 1 tsp coriander powder, salt - as per taste, 6 cloves garlic - finely chopped, 1 inch ginger - finely chopped, 2 Sprig coriander - finely chopped","To make the Bharwa Onion Vegetable Recipe, first make two cuts on the top of the onion. Take care not to cut it completely. In a mixing bowl, add red chili powder, turmeric powder, mango powder, coriander powder, salt and mix. Add a little water to it and make a paste. With the help of your hand, fill this spice inside the onion. Keep the remaining paste separately. Now heat oil in a pan. Add ginger, garlic and cook for 30 seconds. After 30 seconds, add the filled onions, remaining paste and mix it. Now take hot water in a bowl and put tamarind in it. After 3 to 4 minutes, remove the tamarind and put the tamarind water in the onion. Cover the pan and cook till the onion becomes soft. Between the bitches After cooking, garnish with green coriander and serve. Serve the Bharwa Onion Vegetable Recipe along with Punchmel Dal, Bundi Raita and Phulka for dinner.",,https://www.archanaskitchen.com/bharwa-pyaz-ki-sabzi-recipe-in-hindi
Aam Panna Pani Puri Recipe,0,1,0,Vegetarian,1,1,North Indian Recipes,93,0.2,0.4,0.1,7.2,1.4,112.3,23.7,1.3,0,14,"18 Pani Puris,2 Potato (Aloo) - boiled,1/4 cup Green Moong Sprouts - 1/4 cup green moong sprouts,Salt - to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Chaat Masala Powder,1/2 teaspoon Red Chilli powder,1 Mango (Raw),10 Mint Leaves (Pudina),1 teaspoon Cumin powder (Jeera),Black Salt (Kala Namak) - to taste,1/2 teaspoon Black pepper powder,2 tablespoons Sugar","To begin making theAam Panna Pani Puri Recipe, we will first make theAam Panna Pani.In a pressure cooker, peel the raw mango and add the whole raw mango along with 1/2 cup of water and pressure cook for 4 whistles. It has to be cooked until they become soft and tender. Turn off the flame. Allow the pressure to release naturally.Open the lid, drain the water, transfer the mangoes into a bowl and allow the mangoes to cool . Extract the pulp from the cooked raw mango and discard the seed. You will be left with the cooked raw mango pulp.In the bowl with the cooked raw mango pulp, add in the mint leaves,cumin powder, black salt ,black pepper powder andsugar.Transfer this mixture into a mixer jar and grind into a smooth puree.Transfer the aam panna into a serving bowl, add 1 cup of water and mix well. Check the taste and spices and adjust accordingly. Chill theAam Panna Pani in the refrigerator.For the Pani Puri filling, in a mixing bowl, mash the potatoes, add the green moong sprouts and the dry masalas-chaat masala,cumin powder andred chilli powder. Mix well. Check the taste of the aloo masala and adjust salt or seasoning if required.Serve Aam Panna Pani Puri Recipe, by slightly cracking the puris on the top to make an opening, stuff the potato-sprouts filling, fill it with the Aam Panna Pani.ServeAam Panna Pani Puri Recipeas an appetizer along with a fun party meal ofRawal Pindi Style Chole Recipe,Bhatura,Mumbai Style Tawa Pulao Recipe with Moong Sproutsand finish of with a dessert ofDouble Ka Meetha Recipe With Mixed Nuts Rabri.",,http://www.archanaskitchen.com/aam-panna-pani-puri-recipe
